 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
31,NeuralCrestChannel:0521-0830,53.379,1169.468,682.629,428.153,0.842,62425.093,92388,1.117,0.895,0.935
32,NeuralCrestChannel:0457-0609,75.001,1007.495,500.891,375.902,0.808,75563.093,111832,1.490,0.671,0.953
33,NeuralCrestChannel:0339-1020,54.055,858.612,838.717,278.566,0.828,46412.058,68689,1.512,0.661,0.958
34,NeuralCrestChannel:0276-0696,52.028,1015.545,572.608,226.920,0.877,52836.462,78197,1.020,0.980,0.981
35,NeuralCrestChannel:0378-0674,97.298,619.722,553.942,310.602,0.929,60298.040,89240,1.323,0.756,1.003
36,NeuralCrestChannel:0520-1078,83.109,740.683,886.487,427.463,0.909,61557.515,91104,1.350,0.741,0.969
37,NeuralCrestChannel:0383-0729,61.487,886.582,599.523,314.740,0.778,54513.509,80679,1.595,0.627,0.948
38,NeuralCrestChannel:0363-0917,62.163,1013.728,754.015,298.967,0.862,63016.317,93263,1.194,0.837,0.958
39,NeuralCrestChannel:0458-0836,88.515,775.099,687.503,376.561,0.906,68607.602,101538,1.250,0.800,0.960
40,NeuralCrestChannel:0544-1069,50.001,1035.635,878.785,447.457,0.910,51782.395,76637,1.013,0.987,1.000
41,NeuralCrestChannel:0538-0964,54.730,1071.358,792.819,442.759,0.844,58635.858,86780,1.075,0.930,0.936
42,NeuralCrestChannel:0525-0701,62.163,1053.620,576.320,431.863,0.830,65496.077,96933,1.564,0.639,0.968
43,NeuralCrestChannel:0336-0508,63.514,987.021,417.340,276.402,0.877,62689.962,92780,1.085,0.921,0.959
44,NeuralCrestChannel:0433-0764,52.703,1042.974,627.945,356.305,0.835,54968.245,81352,1.220,0.820,0.923
45,NeuralCrestChannel:0305-0750,55.406,908.841,616.490,250.850,0.871,50355.350,74525,1.047,0.955,0.965
46,NeuralCrestChannel:0552-0405,58.109,797.977,332.891,454.289,0.884,46369.490,68626,1.184,0.845,0.983
47,NeuralCrestChannel:0544-0719,45.947,1127.926,591.489,447.506,0.818,51824.287,76699,1.077,0.928,0.971
48,NeuralCrestChannel:0292-0533,51.352,888.000,438.743,240.208,0.861,45600.562,67488,1.171,0.854,0.905
49,NeuralCrestChannel:0349-0781,65.541,1137.938,642.444,286.950,0.903,74582.000,110380,1.305,0.766,0.980
50,NeuralCrestChannel:0536-1001,62.163,1036.272,822.777,440.494,0.882,64417.686,95337,1.143,0.875,0.979
51,NeuralCrestChannel:0521-0299,66.893,1331.323,245.525,428.872,0.906,89055.827,131801,1.291,0.775,0.975
52,NeuralCrestChannel:0588-0610,62.163,960.696,501.572,483.300,0.894,59719.655,88384,1.239,0.807,0.953
53,NeuralCrestChannel:0428-0321,55.406,1044.024,264.383,352.668,0.867,57845.307,85610,1.334,0.750,0.943
54,NeuralCrestChannel:0440-0801,77.704,903.496,658.654,362.320,0.783,70204.919,103902,1.706,0.586,0.962
55,NeuralCrestChannel:0509-0668,56.757,1474.048,549.008,418.535,0.864,83663.193,123820,1.261,0.793,0.949
56,NeuralCrestChannel:0421-0415,58.785,1708.471,341.163,346.473,0.844,100431.643,148637,1.207,0.829,0.967
57,NeuralCrestChannel:0240-0558,53.379,599.342,459.066,197.358,0.890,31992.286,47348.000,1.368,0.731,0.940
58,NeuralCrestChannel:0336-0902,70.271,729.673,741.705,276.556,0.803,51274.956,75886,1.658,0.603,0.963
59,NeuralCrestChannel:0516-0679,70.947,1643.990,558.580,424.806,0.914,116635.896,172619,1.166,0.857,0.986
60,NeuralCrestChannel:0279-0804,55.406,784.354,661.329,229.619,0.849,43457.968,64317,1.313,0.762,0.959
61,NeuralCrestChannel:0537-0682,61.487,695.901,560.274,441.500,0.835,42789.041,63327,1.536,0.651,0.989
62,NeuralCrestChannel:0515-0808,53.379,1349.911,664.608,423.907,0.862,72056.969,106643,1.430,0.699,0.981
63,NeuralCrestChannel:0525-0631,62.839,1031.903,518.651,431.386,0.853,64843.366,95967.000,1.157,0.864,0.964
64,NeuralCrestChannel:0411-0768,87.839,708.162,631.618,338.101,0.961,62204.145,92061,1.046,0.956,0.974
65,NeuralCrestChannel:0585-0415,61.487,617.945,341.469,481.407,0.926,37995.738,56233,1.117,0.896,1.000
66,NeuralCrestChannel:0439-0453,76.352,1607.779,372.799,361.262,0.878,122757.593,181679,1.318,0.759,0.970
67,NeuralCrestChannel:0376-0791,70.947,1351.190,650.034,309.350,0.841,95862.668,141875,1.588,0.630,0.991
68,NeuralCrestChannel:0528-1015,55.406,1507.841,834.240,434.607,0.814,83543.597,123643,1.038,0.964,0.953
69,NeuralCrestChannel:0457-0560,68.920,1360.755,461.013,376.234,0.869,93782.912,138797,1.397,0.716,0.986
70,NeuralCrestChannel:0527-1041,81.758,1137.008,855.658,433.218,0.924,92959.253,137578,1.202,0.832,0.968
71,NeuralCrestChannel:0229-0696,55.406,560.805,571.962,188.178,0.864,31072.004,45986.000,1.399,0.715,0.937
72,NeuralCrestChannel:0546-1021,54.055,903.750,838.995,449.326,0.829,48851.953,72300,1.269,0.788,0.936
73,NeuralCrestChannel:0252-0941,46.622,517.014,773.294,207.293,0.815,24104.351,35674.000,1.148,0.871,0.914
74,NeuralCrestChannel:0445-0675,81.082,769.842,555.206,365.639,0.899,62420.364,92381,1.248,0.801,0.934
75,NeuralCrestChannel:0345-0543,68.244,1903.574,446.448,283.765,0.845,129907.682,192261,1.334,0.749,0.931
76,NeuralCrestChannel:0291-0860,50.676,1058.453,707.320,239.317,0.834,53638.499,79384,1.272,0.786,0.926
