 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
476,NeuralCrestChannel:0641-0912,64.190,1239.168,749.893,526.802,0.812,79542.196,117721.000,2.057,0.486,0.979
477,NeuralCrestChannel:0626-0801,42.568,676.619,658.037,514.383,0.884,28802.382,42627.000,1.129,0.886,0.947
478,NeuralCrestChannel:0654-0752,64.866,508.438,618.641,537.400,0.899,32980.136,48810.000,1.262,0.792,0.985
479,NeuralCrestChannel:0659-0404,46.622,627.391,332.058,541.823,0.860,29250.360,43290.000,1.265,0.790,1.030
480,NeuralCrestChannel:0860-0908,35.811,731.283,746.523,707.424,0.910,26188.160,38758.000,1.103,0.907,0.938
481,NeuralCrestChannel:0730-0399,48.649,957.986,328.195,600.425,0.845,46605.304,68975.000,1.399,0.715,0.973
482,NeuralCrestChannel:0642-0599,58.785,1484.805,492.591,527.880,0.822,87283.508,129178.000,1.301,0.769,0.935
483,NeuralCrestChannel:0653-0522,46.622,1508.971,428.756,536.879,0.854,70351.542,104119.000,1.240,0.806,0.965
484,NeuralCrestChannel:0625-0328,48.649,1330.889,269.627,514.424,0.767,64746.744,95824.000,1.672,0.598,0.966
485,NeuralCrestChannel:0680-0816,62.839,1011.613,670.880,559.309,0.877,63568.351,94080.000,1.321,0.757,0.979
486,NeuralCrestChannel:0624-0478,56.757,535.631,393.444,513.310,0.873,30401.050,44993.000,1.190,0.840,0.988
487,NeuralCrestChannel:0587-1149,41.892,1132.016,944.743,482.726,0.875,47422.882,70185.000,1.252,0.799,0.961
488,NeuralCrestChannel:0749-1151,42.568,887.302,945.985,615.776,0.917,37770.736,55900.000,1.168,0.856,0.984
489,NeuralCrestChannel:0753-0824,54.730,607.198,677.983,619.377,0.779,33232.166,49183.000,1.721,0.581,0.959
490,NeuralCrestChannel:0718-1189,56.082,1389.036,977.135,590.795,0.858,77899.608,115290.000,1.102,0.907,0.902
491,NeuralCrestChannel:0683-0829,54.055,993.188,682.065,561.539,0.809,53686.472,79455.000,1.814,0.551,0.964
492,NeuralCrestChannel:0648-0838,55.406,720.768,688.485,532.977,0.879,39934.951,59103.000,1.194,0.838,0.970
493,NeuralCrestChannel:0856-0634,46.622,931.870,521.488,703.995,0.930,43445.806,64299.000,1.155,0.866,1.030
494,NeuralCrestChannel:0776-1086,79.055,412.872,892.583,637.847,0.893,32639.591,48306.000,1.337,0.748,0.975
495,NeuralCrestChannel:0659-0782,57.433,452.741,643.002,542.341,0.848,26002.347,38483.000,1.165,0.858,0.939
496,NeuralCrestChannel:0794-0374,59.460,1008.534,307.830,652.771,0.874,59967.631,88751.000,1.302,0.768,0.957
497,NeuralCrestChannel:0855-0889,42.568,1001.429,730.882,702.686,0.826,42628.904,63090.000,1.455,0.687,0.969
498,NeuralCrestChannel:0864-0950,31.081,1423.696,780.632,710.422,0.844,44250.545,65490.000,1.240,0.807,0.989
499,NeuralCrestChannel:0870-0574,43.919,1200.215,471.847,714.944,0.804,52712.812,78014.000,1.400,0.714,0.977
500,NeuralCrestChannel:0644-0423,52.028,543.429,347.530,529.811,0.860,28273.321,41844.000,1.375,0.727,0.951
501,NeuralCrestChannel:0819-0639,46.622,1382.899,525.764,673.450,0.831,64473.767,95420.000,1.652,0.605,0.932
502,NeuralCrestChannel:0736-0747,37.163,1200.091,614.281,605.179,0.836,44598.522,66005.000,1.138,0.879,0.917
503,NeuralCrestChannel:0697-0675,41.892,714.097,555.022,573.093,0.889,29915.233,44274.000,1.092,0.916,0.954
504,NeuralCrestChannel:0589-1139,39.865,864.186,935.958,484.179,0.825,34451.100,50987.000,1.193,0.838,0.959
505,NeuralCrestChannel:0864-0656,36.487,698.037,539.156,711.015,0.889,25469.233,37694.000,1.143,0.875,1.059
506,NeuralCrestChannel:0721-1179,39.865,1251.119,968.950,592.906,0.849,49876.290,73816.000,1.212,0.825,0.922
507,NeuralCrestChannel:0905-0592,66.893,656.838,486.960,744.047,0.884,43937.703,65027.000,1.295,0.772,0.966
508,NeuralCrestChannel:0746-1169,42.568,907.254,961.094,613.675,0.893,38620.070,57157.000,1.105,0.905,1.008
509,NeuralCrestChannel:0784-0443,65.541,580.773,364.142,644.740,0.922,38064.658,56335.000,1.187,0.843,0.970
510,NeuralCrestChannel:0650-0341,72.298,644.075,280.805,535.095,0.840,46565.439,68916.000,1.563,0.640,0.977
511,NeuralCrestChannel:0671-0936,52.703,586.026,769.213,552.331,0.818,30885.516,45710.000,1.657,0.604,0.987
512,NeuralCrestChannel:0615-0925,61.487,931.462,760.481,505.670,0.919,57273.003,84763.000,1.036,0.966,0.973
513,NeuralCrestChannel:0759-0332,56.757,1853.119,273.423,623.957,0.829,105178.323,155662.000,1.346,0.743,0.971
514,NeuralCrestChannel:0877-0576,45.947,1176.176,474.113,721.160,0.991,54041.206,79980.000,1.255,0.797,1.046
515,NeuralCrestChannel:0697-0817,71.623,655.670,671.597,572.895,0.817,46960.714,69501.000,1.541,0.649,0.938
516,NeuralCrestChannel:0947-0892,35.136,783.731,733.240,779.019,0.832,27536.826,40754.000,1.064,0.940,0.904
517,NeuralCrestChannel:0632-0475,31.757,905.894,390.336,520.072,0.823,28768.598,42577.000,1.117,0.895,0.931
518,NeuralCrestChannel:0635-0813,43.244,1291.422,668.877,521.675,0.814,55845.958,82651.000,1.623,0.616,1.016
519,NeuralCrestChannel:0648-1125,54.730,754.420,925.019,532.864,0.794,41289.698,61108.000,1.757,0.569,0.931
520,NeuralCrestChannel:0687-0369,64.866,1289.073,303.798,565.228,0.861,83616.571,123751.000,1.428,0.700,0.970
